id,tag2
2, Mine plow/roller
59, Mine plow/roller
92, Mine plow/roller
94, O
97, O
121, V
180, ⧸
194, Cope cage
230, ⧸
281, ☐
286, ☐
308, Underwater
318, Cope cage
319, Cope cage
322, Damaged
354, Damaged
372, ☐
385, Cope cage
405, ⧸
407, Underwater
408, O
498, Mine plow/roller
613, Flipped
646, ⧸
705, Cope cage
753, Z
834, ☐
1332, V
1352, V
1412, V
1433, Armour kit missing
1435, Z
1549, Z
1564, Additional armour
1695, Z
1702, Z
1712, Z
1725, ⧸
1745, Z
1751, ⧸
1782, Damaged
1798, ⧸
1801, V
1805, PL-1
1844, V
1845, V
1917, V
1918, V
1928, V
1935, V
2015, ☐
2092, Armour kit missing
2154, ⧸
2402, ☐
2437, KUNG
2561, ☐
2600, Underwater
2619, ☐
2740, Z
2746, Flipped
2764, Flipped
2769, Flipped
2770, Z
2902, ☐
3253, Flipped
3257, Damaged
3470, KUNG
3533, Additional armour
3547, Flipped
3604, KUNG
3664, KUNG
3935, ☐
4030, ☐
4056, ☐
4348, ⧸
5529, Mine plow/roller
5700, V
5767, ⧸
5785, ⧸
5786, ⧸
5851, V
5855, V
5857, V
6176, ☐
6187, PL-1
6194, Flipped
6201, KUNG
6258, Mine plow/roller
6396, Mine plow/roller
6404, Armour kit missing
6466, PL-1
6476, V
6486, V
6597, Flipped
6665, ☐
6733, Z
6859, Underwater
6864, Z
6867, Mine plow/roller
7287, Mine plow/roller
7328, Mine plow/roller
7691, O
7775, Z
7838, Flipped
7870, PL-1
7908, Z
7925, ⧸
7948, PL-1
7969, Flipped
8014, PL-1
8029, V
8032, ☐
8062, Damaged
8066, O
8154, ⧸
8190, ☐
8306, ☐
8314, Flipped
8370, Z
8417, ☐
8465, Z
8517, V
8555, V
8659, Z
8799, O
8829, ⧸
8923, Mine plow/roller
9074, Z
9078, ☐
9130, V
9238, Underwater
9291, ∇
9650, Armour kit missing
9667, Damaged
9724, ☐
9743, Damaged
9810, PL-1
9927, V
9935, V
9941, O
10067, ☐
10211, V
10215, V
10234, Flipped
10246, ∇
10274, V
10553, KUNG
11044, Mine plow/roller
11064, KUNG
11143, Additional armour
11276, Heli
11279, Heli
11285, Z
11334, O
11433, V
11474, V
11501, ⧸
11615, Z
12084, V
12085, O
12436, ☐
12519, V
12522, ⧸
12540, Damaged
12542, ☐
12587, ☐
12917, Loitering
13257, O
13328, ⧸
13332, Mine plow/roller
13516, ☐
13533, O
13558, Damaged
13588, Mine plow/roller
13818, ⧸
13904, KUNG
13913, ☐
13917, V
13923, Damaged
13924, ☐
13926, ☐
13931, ☐
13941, Damaged
13948, ☐
13949, ☐
13951, Damaged
13966, Flipped
14108, ☐
14124, Cope cage
14144, ☐
14254, V
14393, V
14410, ☐
14411, Flipped
14418, ☐
14461, ☐
14587, Mine plow/roller
14588, Mine plow/roller
14590, Mine plow/roller
14947, Mine plow/roller
14952, PL-1
15096, Z
15362, ⧸
15395, ☐
15453, Damaged
15505, V
15832, Damaged
15856, Cope cage
16129, Cope cage
16375, ☐
16456, V
16464, Cope cage
16793, V
16809, ⧸
16843, ◇
16851, ◇
16946, ☐
17044, ☐
17055, Damaged
17058, V
17062, V
17101, Cope cage
17103, Mine plow/roller
17184, Improvised
17188, PL-1
17315, Cope cage
17318, ∇
17328, Flipped
17350, Cope cage
17527, ☐
17670, Flipped
17718, ⧸
17756, Z
17840, Mine plow/roller
17875, ☐
18144, Cope cage
18218, Mine plow/roller
18380, V
18404, Flipped
18476, V
18684, Z
18759, Z
18844, Cope cage
18968, ☐
18987, Cope cage
18988, Damaged
18998, Z
19048, ∇
19085, ☐
19174, Improvised
19177, Cope cage
19249, Flipped
19254, Damaged
19294, ☐
19354, Cope cage
19362, Z
19364, V
19401, ☐
19551, ∇
19626, O
19658, Z
19674, O
19686, Damaged
19687, Cope cage
19775, ☐
20039, V
20084, ☐
20126, Flipped
20201, Improvised
20216, Cope cage
20217, Cope cage
20227, ☐
20231, Z
20257, ∧
20366, V
20370, Cope cage
20411, Mine plow/roller
20499, Flipped
20506, Damaged
20507, Cope cage
20511, Expanded cabin
20512, ☐
20569, Cope cage
20583, ◇
20591, Flipped
20617, KUNG
20674, ∇
20679, Z
20681, Cope cage
20683, Mine plow/roller
20684, ☐
20685, Damaged
20689, Cope cage
20723, Flipped
20786, Cope cage
20792, Mine plow/roller
20813, Damaged
20820, Cope cage
20848, Cope cage
20855, Cope cage
20929, Cope cage
20937, Cope cage
21031, V
21161, Damaged
21166, Damaged
21185, Flipped
21190, Cope cage
21209, Damaged
21241, Damaged
21244, Mine plow/roller
21250, Mine plow/roller
21256, Mine plow/roller
21279, Cope cage
21280, Mine plow/roller
21282, Mine plow/roller
21283, Jammer
21284, Cope cage
21288, Cope cage
21314, Cope cage
21341, V
21369, Cope cage
21370, Mine plow/roller
21371, Damaged
21418, Damaged
21455, ◇
21461, V
21469, Damaged
21492, V
21505, Cope cage
21530, Additional armour
21550, Damaged
21562, Cope cage
21567, ☐
21568, Damaged
21614, Additional armour
21616, Damaged
21631, Cope cage
21700, Cope cage
21728, Cope cage
21785, V
21866, ▲
21909, ☐
21971, Damaged
21972, Flipped
21976, Damaged
21977, Jammer
21980, ∇
21984, Armour kit missing
22016, Cope cage
22019, Damaged
22020, Mine plow/roller
22043, Z
22044, Z
22081, Cope cage
22108, O
22109, V
22184, V
22187, Cope cage
22188, Cope cage
22191, ☐
22228, Z
22236, Cope cage
22241, Flipped
22249, Cope cage
22256, Cope cage
22262, Mine plow/roller
22270, Cope cage
22283, Z
22292, Cope cage
22309, Damaged
22310, Damaged
22325, ☐
22374, V
22380, Mine plow/roller
22391, V
22427, ☐
22454, Improvised
22461, Damaged
22466, Expanded cabin
22469, Cope cage
22567, Damaged
22571, Mine plow/roller
22575, Cope cage
22587, Cope cage
22598, ☐
22602, Damaged
22657, Damaged
22658, Mine plow/roller
22666, Damaged
22689, Damaged
22690, Flipped
22691, Mine plow/roller
22696, Cope cage
22732, V
22748, Cope cage
22749, V
22807, Improvised
22840, Expanded cabin
22841, Expanded cabin
22902, Underwater
23080, Damaged
23152, Z
23179, Damaged
23181, V
23196, V
23197, Improvised
23202, Cope cage
23219, Cope cage
23319, Damaged
23325, Damaged
23330, Damaged
23365, ∇
23371, Damaged
23401, Cope cage
23416, Cope cage
23418, Flipped
23423, Cope cage
23451, Damaged
23482, Damaged
23494, Mine plow/roller
23519, O
23528, ☐
23531, Damaged
23562, Armour kit missing
23586, Damaged
23643, Cope cage
23644, Cope cage
23672, Damaged
23728, Z
23756, Additional armour
23761, Jammer
23766, Damaged
23774, Additional armour
23775, Damaged
23793, Damaged
23830, Damaged
23856, Additional armour
23874, Cope cage
23914, Underwater
23920, Damaged
23951, Cope cage
23979, Jammer
23987, Cope cage
23991, Cope cage
24034, Cope cage
24035, Mine plow/roller
24080, Additional armour
24084, Damaged
24094, ▲
24147, ☐
24149, ☐
24164, Cope cage
24185, Z
24211, Cope cage
24213, Mine plow/roller
24283, Cope cage
24314, PL-1
24324, Cope cage
24350, Mine plow/roller
24353, ☐
24354, Damaged
24382, Additional armour
24418, Damaged
24443, Cope cage
24444, Cope cage
24519, ∆
24601, Z
24623, Damaged
24649, Cope cage
24665, Jammer
24679, ▲
24709, Cope cage
24732, Expanded cabin
24758, Damaged
24803, Cope cage
24859, Additional armour
24880, V
24899, Jammer
24927, ☐
24930, Cope cage
24935, Damaged
24969, ☐
25032, Armour kit missing
25039, Damaged
25042, Z
25043, V
25051, Damaged
25055, Cope cage
25063, Cope cage
25090, Cope cage
25091, Cope cage
