id,tag4
11044, ☐
20231, Cope cage
20679, Mine plow/roller
20689, Jammer
21282, ☐
21288, T
21461, Cope cage
22044, Cope cage
22184, ☐
22228, V
22380, Jammer
22658, ◇
22691, Flipped
22732, Additional armour
23672, Additional armour
24601, ∆
25042, ◇
25043, Damaged
25495, Cope cage
25790, ▲
25888, ☐
25889, Damaged
26190, Jammer
26782, Additional armour
27390, ✕
27415, Additional armour
27487, Additional armour
27600, Additional armour
28366, Cope cage
28747, Additional armour
28974, Jammer
30203, Jammer
30299, Turtle
30352, Additional armour
30365, Additional armour
30397, ✕
30450, ✕
30466, Turtle
30520, Additional armour
30698, Additional armour
31333, Jammer
31704, Underwater
31706, Underwater
31939, Additional armour
32139, Additional armour
32195, Additional armour
32484, ◇
